"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"D353","45.1000mm","21.5000mm","TopLayer","90"
"D352","75.1000mm","25.5000mm","TopLayer","90"
"D351","70.1000mm","25.5000mm","TopLayer","90"
"D350","65.1000mm","25.5000mm","TopLayer","90"
"D349","60.1000mm","25.5000mm","TopLayer","90"
"D348","55.1000mm","25.5000mm","TopLayer","90"
"D347","50.1000mm","25.5000mm","TopLayer","90"
"D346","45.1000mm","25.5000mm","TopLayer","90"
"D345","75.1000mm","29.5000mm","TopLayer","90"
"D344","70.1000mm","29.5000mm","TopLayer","90"
"D343","65.1000mm","29.5000mm","TopLayer","90"
"D342","60.1000mm","29.5000mm","TopLayer","90"
"D341","55.1000mm","29.5000mm","TopLayer","90"
"D340","50.1000mm","29.5000mm","TopLayer","90"
"D339","45.1000mm","29.5000mm","TopLayer","90"
"D338","133.1000mm","56.5000mm","TopLayer","90"
"D337","128.1000mm","56.5000mm","TopLayer","90"
"D336","123.1000mm","56.5000mm","TopLayer","90"
"D335","153.1000mm","60.5000mm","TopLayer","90"
"D334","148.1000mm","60.5000mm","TopLayer","90"
"D333","143.1000mm","60.5000mm","TopLayer","90"
"D332","138.1000mm","60.5000mm","TopLayer","90"
"D331","133.1000mm","60.5000mm","TopLayer","90"
"D330","128.1000mm","60.5000mm","TopLayer","90"
"D329","123.1000mm","60.5000mm","TopLayer","90"
"D328","153.1000mm","64.5000mm","TopLayer","90"
"D327","148.1000mm","64.5000mm","TopLayer","90"
"D326","143.1000mm","64.5000mm","TopLayer","90"
"D325","138.1000mm","64.5000mm","TopLayer","90"
"D324","133.1000mm","64.5000mm","TopLayer","90"
"D323","128.1000mm","64.5000mm","TopLayer","90"
"D322","123.1000mm","64.5000mm","TopLayer","90"
"D321","153.1000mm","68.5000mm","TopLayer","90"
"D320","148.1000mm","68.5000mm","TopLayer","90"
"D319","143.1000mm","68.5000mm","TopLayer","90"
"D318","138.1000mm","68.5000mm","TopLayer","90"
"D317","133.1000mm","68.5000mm","TopLayer","90"
"D316","128.1000mm","68.5000mm","TopLayer","90"
"D315","123.1000mm","68.5000mm","TopLayer","90"
"D314","153.1000mm","72.5000mm","TopLayer","90"
"D313","148.1000mm","72.5000mm","TopLayer","90"
"D312","143.1000mm","72.5000mm","TopLayer","90"
"D311","138.1000mm","72.5000mm","TopLayer","90"
"D310","133.1000mm","72.5000mm","TopLayer","90"
"D309","128.1000mm","72.5000mm","TopLayer","90"
"D308","123.1000mm","72.5000mm","TopLayer","90"
"D307","94.1000mm","56.5000mm","TopLayer","90"
"D306","89.1000mm","56.5000mm","TopLayer","90"
"D305","84.1000mm","56.5000mm","TopLayer","90"
"D304","114.1000mm","60.5000mm","TopLayer","90"
"D303","109.1000mm","60.5000mm","TopLayer","90"
"D302","104.1000mm","60.5000mm","TopLayer","90"
"D301","99.1000mm","60.5000mm","TopLayer","90"
"D300","94.1000mm","60.5000mm","TopLayer","90"
"D299","89.1000mm","60.5000mm","TopLayer","90"
"D298","84.1000mm","60.5000mm","TopLayer","90"
"D297","114.1000mm","64.5000mm","TopLayer","90"
"D296","109.1000mm","64.5000mm","TopLayer","90"
"D295","104.1000mm","64.5000mm","TopLayer","90"
"D294","99.1000mm","64.5000mm","TopLayer","90"
"D293","94.1000mm","64.5000mm","TopLayer","90"
"D292","89.1000mm","64.5000mm","TopLayer","90"
"D291","84.1000mm","64.5000mm","TopLayer","90"
"D290","114.1000mm","68.5000mm","TopLayer","90"
"D289","109.1000mm","68.5000mm","TopLayer","90"
"D288","104.1000mm","68.5000mm","TopLayer","90"
"D287","99.1000mm","68.5000mm","TopLayer","90"
"D286","94.1000mm","68.5000mm","TopLayer","90"
"D285","89.1000mm","68.5000mm","TopLayer","90"
"D284","84.1000mm","68.5000mm","TopLayer","90"
"D283","114.1000mm","72.5000mm","TopLayer","90"
"D282","109.1000mm","72.5000mm","TopLayer","90"
"D281","104.1000mm","72.5000mm","TopLayer","90"
"D280","99.1000mm","72.5000mm","TopLayer","90"
"D279","94.1000mm","72.5000mm","TopLayer","90"
"D278","89.1000mm","72.5000mm","TopLayer","90"
"D277","84.1000mm","72.5000mm","TopLayer","90"
"D276","16.1000mm","56.5000mm","TopLayer","90"
"D275","11.1000mm","56.5000mm","TopLayer","90"
"D274","6.1000mm","56.5000mm","TopLayer","90"
"D273","36.1000mm","60.5000mm","TopLayer","90"
"D272","31.1000mm","60.5000mm","TopLayer","90"
"D271","26.1000mm","60.5000mm","TopLayer","90"
"D270","21.1000mm","60.5000mm","TopLayer","90"
"D269","16.1000mm","60.5000mm","TopLayer","90"
"D268","11.1000mm","60.5000mm","TopLayer","90"
"D267","6.1000mm","60.5000mm","TopLayer","90"
"D266","36.1000mm","64.5000mm","TopLayer","90"
"D265","31.1000mm","64.5000mm","TopLayer","90"
"D264","26.1000mm","64.5000mm","TopLayer","90"
"D263","21.1000mm","64.5000mm","TopLayer","90"
"D262","16.1000mm","64.5000mm","TopLayer","90"
"D261","11.1000mm","64.5000mm","TopLayer","90"
"D260","6.1000mm","64.5000mm","TopLayer","90"
"D259","36.1000mm","68.5000mm","TopLayer","90"
"D258","31.1000mm","68.5000mm","TopLayer","90"
"D257","26.1000mm","68.5000mm","TopLayer","90"
"D256","21.1000mm","68.5000mm","TopLayer","90"
"D255","16.1000mm","68.5000mm","TopLayer","90"
"D254","11.1000mm","68.5000mm","TopLayer","90"
"D253","6.1000mm","68.5000mm","TopLayer","90"
"D252","36.1000mm","72.5000mm","TopLayer","90"
"D251","31.1000mm","72.5000mm","TopLayer","90"
"D250","26.1000mm","72.5000mm","TopLayer","90"
"D249","21.1000mm","72.5000mm","TopLayer","90"
"D248","16.1000mm","72.5000mm","TopLayer","90"
"D247","11.1000mm","72.5000mm","TopLayer","90"
"D246","6.1000mm","72.5000mm","TopLayer","90"
"D245","94.1000mm","99.5000mm","TopLayer","90"
"D244","89.1000mm","99.5000mm","TopLayer","90"
"D243","84.1000mm","99.5000mm","TopLayer","90"
"D242","114.1000mm","103.5000mm","TopLayer","90"
"D241","109.1000mm","103.5000mm","TopLayer","90"
"D240","104.1000mm","103.5000mm","TopLayer","90"
"D239","99.1000mm","103.5000mm","TopLayer","90"
"D238","94.1000mm","103.5000mm","TopLayer","90"
"D237","89.1000mm","103.5000mm","TopLayer","90"
"D236","84.1000mm","103.5000mm","TopLayer","90"
"D235","114.1000mm","107.5000mm","TopLayer","90"
"D234","109.1000mm","107.5000mm","TopLayer","90"
"D233","104.1000mm","107.5000mm","TopLayer","90"
"D232","99.1000mm","107.5000mm","TopLayer","90"
"D231","94.1000mm","107.5000mm","TopLayer","90"
"D230","89.1000mm","107.5000mm","TopLayer","90"
"D229","84.1000mm","107.5000mm","TopLayer","90"
"D228","114.1000mm","111.5000mm","TopLayer","90"
"D227","109.1000mm","111.5000mm","TopLayer","90"
"D226","104.1000mm","111.5000mm","TopLayer","90"
"D225","99.1000mm","111.5000mm","TopLayer","90"
"D224","94.1000mm","111.5000mm","TopLayer","90"
"D223","89.1000mm","111.5000mm","TopLayer","90"
"D222","84.1000mm","111.5000mm","TopLayer","90"
"D221","114.1000mm","115.5000mm","TopLayer","90"
"D220","109.1000mm","115.5000mm","TopLayer","90"
"D219","104.1000mm","115.5000mm","TopLayer","90"
"D218","99.1000mm","115.5000mm","TopLayer","90"
"D217","94.1000mm","115.5000mm","TopLayer","90"
"D216","89.1000mm","115.5000mm","TopLayer","90"
"D215","84.1000mm","115.5000mm","TopLayer","90"
"D213","89.1000mm","13.5000mm","TopLayer","90"
"D212","84.1000mm","13.5000mm","TopLayer","90"
"D211","114.1000mm","17.5000mm","TopLayer","90"
"D210","109.1000mm","17.5000mm","TopLayer","90"
"D209","104.1000mm","17.5000mm","TopLayer","90"
"D208","99.1000mm","17.5000mm","TopLayer","90"
"D207","94.1000mm","17.5000mm","TopLayer","90"
"D206","89.1000mm","17.5000mm","TopLayer","90"
"D205","84.1000mm","17.5000mm","TopLayer","90"
"D204","114.1000mm","21.5000mm","TopLayer","90"
"D203","109.1000mm","21.5000mm","TopLayer","90"
"D202","104.1000mm","21.5000mm","TopLayer","90"
"D201","99.1000mm","21.5000mm","TopLayer","90"
"D200","94.1000mm","21.5000mm","TopLayer","90"
"D199","89.1000mm","21.5000mm","TopLayer","90"
"D198","84.1000mm","21.5000mm","TopLayer","90"
"D197","114.1000mm","25.5000mm","TopLayer","90"
"D196","109.1000mm","25.5000mm","TopLayer","90"
"D195","104.1000mm","25.5000mm","TopLayer","90"
"D194","99.1000mm","25.5000mm","TopLayer","90"
"D193","94.1000mm","25.5000mm","TopLayer","90"
"D192","89.1000mm","25.5000mm","TopLayer","90"
"D191","84.1000mm","25.5000mm","TopLayer","90"
"D190","114.1000mm","29.5000mm","TopLayer","90"
"D189","109.1000mm","29.5000mm","TopLayer","90"
"D188","104.1000mm","29.5000mm","TopLayer","90"
"D187","99.1000mm","29.5000mm","TopLayer","90"
"D186","94.1000mm","29.5000mm","TopLayer","90"
"D185","89.1000mm","29.5000mm","TopLayer","90"
"D184","84.1000mm","29.5000mm","TopLayer","90"
"D182","11.1000mm","13.5000mm","TopLayer","90"
"D181","6.1000mm","13.5000mm","TopLayer","90"
"D180","36.1000mm","17.5000mm","TopLayer","90"
"D179","31.1000mm","17.5000mm","TopLayer","90"
"D178","26.1000mm","17.5000mm","TopLayer","90"
"D177","21.1000mm","17.5000mm","TopLayer","90"
"D176","16.1000mm","17.5000mm","TopLayer","90"
"D175","11.1000mm","17.5000mm","TopLayer","90"
"D174","6.1000mm","17.5000mm","TopLayer","90"
"D173","36.1000mm","21.5000mm","TopLayer","90"
"D172","31.1000mm","21.5000mm","TopLayer","90"
"D171","26.1000mm","21.5000mm","TopLayer","90"
"D170","21.1000mm","21.5000mm","TopLayer","90"
"D169","16.1000mm","21.5000mm","TopLayer","90"
"D168","11.1000mm","21.5000mm","TopLayer","90"
"D167","6.1000mm","21.5000mm","TopLayer","90"
"D166","36.1000mm","25.5000mm","TopLayer","90"
"D165","31.1000mm","25.5000mm","TopLayer","90"
"D164","26.1000mm","25.5000mm","TopLayer","90"
"D163","21.1000mm","25.5000mm","TopLayer","90"
"D162","16.1000mm","25.5000mm","TopLayer","90"
"D161","11.1000mm","25.5000mm","TopLayer","90"
"D160","6.1000mm","25.5000mm","TopLayer","90"
"D159","36.1000mm","29.5000mm","TopLayer","90"
"D158","31.1000mm","29.5000mm","TopLayer","90"
"D157","26.1000mm","29.5000mm","TopLayer","90"
"D156","21.1000mm","29.5000mm","TopLayer","90"
"D155","16.1000mm","29.5000mm","TopLayer","90"
"D154","11.1000mm","29.5000mm","TopLayer","90"
"D153","6.1000mm","29.5000mm","TopLayer","90"
"D151","50.1000mm","56.5000mm","TopLayer","90"
"D150","45.1000mm","56.5000mm","TopLayer","90"
"D149","75.1000mm","60.5000mm","TopLayer","90"
"D148","70.1000mm","60.5000mm","TopLayer","90"
"D147","65.1000mm","60.5000mm","TopLayer","90"
"D146","60.1000mm","60.5000mm","TopLayer","90"
"D145","55.1000mm","60.5000mm","TopLayer","90"
"D144","50.1000mm","60.5000mm","TopLayer","90"
"D143","45.1000mm","60.5000mm","TopLayer","90"
"D142","75.1000mm","64.5000mm","TopLayer","90"
"D141","70.1000mm","64.5000mm","TopLayer","90"
"D140","65.1000mm","64.5000mm","TopLayer","90"
"D139","60.1000mm","64.5000mm","TopLayer","90"
"D138","55.1000mm","64.5000mm","TopLayer","90"
"D137","50.1000mm","64.5000mm","TopLayer","90"
"D136","45.1000mm","64.5000mm","TopLayer","90"
"D135","75.1000mm","68.5000mm","TopLayer","90"
"D134","70.1000mm","68.5000mm","TopLayer","90"
"D133","65.1000mm","68.5000mm","TopLayer","90"
"D132","60.1000mm","68.5000mm","TopLayer","90"
"D131","55.1000mm","68.5000mm","TopLayer","90"
"D130","50.1000mm","68.5000mm","TopLayer","90"
"D129","45.1000mm","68.5000mm","TopLayer","90"
"D128","75.1000mm","72.5000mm","TopLayer","90"
"D127","70.1000mm","72.5000mm","TopLayer","90"
"D126","65.1000mm","72.5000mm","TopLayer","90"
"D125","60.1000mm","72.5000mm","TopLayer","90"
"D124","55.1000mm","72.5000mm","TopLayer","90"
"D123","50.1000mm","72.5000mm","TopLayer","90"
"D122","45.1000mm","72.5000mm","TopLayer","90"
"D120","128.1000mm","99.5000mm","TopLayer","90"
"D119","123.1000mm","99.5000mm","TopLayer","90"
"D118","153.1000mm","103.5000mm","TopLayer","90"
"D117","148.1000mm","103.5000mm","TopLayer","90"
"D116","143.1000mm","103.5000mm","TopLayer","90"
"D115","138.1000mm","103.5000mm","TopLayer","90"
"D114","133.1000mm","103.5000mm","TopLayer","90"
"D113","128.1000mm","103.5000mm","TopLayer","90"
"D112","123.1000mm","103.5000mm","TopLayer","90"
"D111","153.1000mm","107.5000mm","TopLayer","90"
"D110","148.1000mm","107.5000mm","TopLayer","90"
"D109","143.1000mm","107.5000mm","TopLayer","90"
"D108","138.1000mm","107.5000mm","TopLayer","90"
"D107","133.1000mm","107.5000mm","TopLayer","90"
"D106","128.1000mm","107.5000mm","TopLayer","90"
"D105","123.1000mm","107.5000mm","TopLayer","90"
"D104","153.1000mm","111.5000mm","TopLayer","90"
"D103","148.1000mm","111.5000mm","TopLayer","90"
"D102","143.1000mm","111.5000mm","TopLayer","90"
"D101","138.1000mm","111.5000mm","TopLayer","90"
"D100","133.1000mm","111.5000mm","TopLayer","90"
"D99","128.1000mm","111.5000mm","TopLayer","90"
"D98","123.1000mm","111.5000mm","TopLayer","90"
"D97","153.1000mm","115.5000mm","TopLayer","90"
"D96","148.1000mm","115.5000mm","TopLayer","90"
"D95","143.1000mm","115.5000mm","TopLayer","90"
"D94","138.1000mm","115.5000mm","TopLayer","90"
"D93","133.1000mm","115.5000mm","TopLayer","90"
"D92","128.1000mm","115.5000mm","TopLayer","90"
"D91","123.1000mm","115.5000mm","TopLayer","90"
"D88","45.1000mm","99.5000mm","TopLayer","90"
"D87","75.1000mm","103.5000mm","TopLayer","90"
"D86","70.1000mm","103.5000mm","TopLayer","90"
"D85","65.1000mm","103.5000mm","TopLayer","90"
"D84","60.1000mm","103.5000mm","TopLayer","90"
"D83","55.1000mm","103.5000mm","TopLayer","90"
"D82","50.1000mm","103.5000mm","TopLayer","90"
"D81","45.1000mm","103.5000mm","TopLayer","90"
"D80","75.1000mm","107.5000mm","TopLayer","90"
"D79","70.1000mm","107.5000mm","TopLayer","90"
"D78","65.1000mm","107.5000mm","TopLayer","90"
"D77","60.1000mm","107.5000mm","TopLayer","90"
"D76","55.1000mm","107.5000mm","TopLayer","90"
"D75","50.1000mm","107.5000mm","TopLayer","90"
"D74","45.1000mm","107.5000mm","TopLayer","90"
"D73","75.1000mm","111.5000mm","TopLayer","90"
"D72","70.1000mm","111.5000mm","TopLayer","90"
"D71","65.1000mm","111.5000mm","TopLayer","90"
"D70","60.1000mm","111.5000mm","TopLayer","90"
"D69","55.1000mm","111.5000mm","TopLayer","90"
"D68","50.1000mm","111.5000mm","TopLayer","90"
"D67","45.1000mm","111.5000mm","TopLayer","90"
"D66","75.1000mm","115.5000mm","TopLayer","90"
"D65","70.1000mm","115.5000mm","TopLayer","90"
"D64","65.1000mm","115.5000mm","TopLayer","90"
"D63","60.1000mm","115.5000mm","TopLayer","90"
"D62","55.1000mm","115.5000mm","TopLayer","90"
"D61","50.1000mm","115.5000mm","TopLayer","90"
"D60","45.1000mm","115.5000mm","TopLayer","90"
"D59","192.6000mm","23.5000mm","TopLayer","0"
"D58","190.4250mm","25.9000mm","TopLayer","90"
"D57","190.4500mm","21.1000mm","TopLayer","90"
"D56","192.6000mm","18.7000mm","TopLayer","180"
"D55","194.7000mm","21.1000mm","TopLayer","270"
"D54","194.7000mm","25.9000mm","TopLayer","270"
"D53","192.6000mm","28.3000mm","TopLayer","0"
"D52","182.3000mm","23.5000mm","TopLayer","0"
"D51","180.1250mm","25.9000mm","TopLayer","90"
"D50","180.1500mm","21.1000mm","TopLayer","90"
"D49","182.3000mm","18.7000mm","TopLayer","180"
"D48","184.4000mm","21.1000mm","TopLayer","270"
"D47","184.4000mm","25.9000mm","TopLayer","270"
"D46","182.3000mm","28.3000mm","TopLayer","0"
"D45","172.0000mm","23.5000mm","TopLayer","0"
"D44","169.8250mm","25.9000mm","TopLayer","90"
"D43","169.8500mm","21.1000mm","TopLayer","90"
"D42","172.0000mm","18.7000mm","TopLayer","180"
"D41","174.1000mm","21.1000mm","TopLayer","270"
"D40","174.1000mm","25.9000mm","TopLayer","270"
"D39","172.0000mm","28.3000mm","TopLayer","0"
"D38","161.7000mm","23.5000mm","TopLayer","0"
"D37","159.5250mm","25.9000mm","TopLayer","90"
"D36","159.5500mm","21.1000mm","TopLayer","90"
"D35","161.7000mm","18.7000mm","TopLayer","180"
"D34","163.8000mm","21.1000mm","TopLayer","270"
"D33","163.8000mm","25.9000mm","TopLayer","270"
"D32","161.7000mm","28.3000mm","TopLayer","0"
"C69","140.0000mm","4.8250mm","BottomLayer","270"
"C68","121.0000mm","4.8250mm","BottomLayer","270"
"C67","133.0000mm","38.0750mm","BottomLayer","90"
"C66","152.0000mm","38.0750mm","BottomLayer","90"
"C65","62.0000mm","4.8250mm","BottomLayer","270"
"C64","43.0000mm","4.8250mm","BottomLayer","270"
"C63","55.0000mm","38.0750mm","BottomLayer","90"
"C62","74.0000mm","38.0750mm","BottomLayer","90"
"C61","140.0000mm","47.8250mm","BottomLayer","270"
"C60","121.0000mm","47.8250mm","BottomLayer","270"
"C59","133.0000mm","81.0750mm","BottomLayer","90"
"C58","152.0000mm","81.0750mm","BottomLayer","90"
"C57","101.0000mm","47.8250mm","BottomLayer","270"
"C56","82.0000mm","47.8250mm","BottomLayer","270"
"C55","94.0000mm","81.0750mm","BottomLayer","90"
"C54","113.0000mm","81.0750mm","BottomLayer","90"
"C53","23.0000mm","47.8250mm","BottomLayer","270"
"C52","4.0000mm","47.8250mm","BottomLayer","270"
"C51","16.0000mm","81.0750mm","BottomLayer","90"
"C50","35.0000mm","81.0750mm","BottomLayer","90"
"C49","101.0000mm","90.8250mm","BottomLayer","270"
"C48","82.0000mm","90.8250mm","BottomLayer","270"
"C47","94.0000mm","124.0750mm","BottomLayer","90"
"C46","113.0000mm","124.0750mm","BottomLayer","90"
"C45","101.0000mm","4.8250mm","BottomLayer","270"
"C44","82.0000mm","4.8250mm","BottomLayer","270"
"C43","94.0000mm","38.0750mm","BottomLayer","90"
"C42","113.0000mm","38.0750mm","BottomLayer","90"
"C41","23.0000mm","4.8250mm","BottomLayer","270"
"C40","4.0000mm","4.8250mm","BottomLayer","270"
"C39","16.0000mm","38.0750mm","BottomLayer","90"
"C38","35.0000mm","38.0750mm","BottomLayer","90"
"C37","62.0000mm","47.8250mm","BottomLayer","270"
"C36","43.0000mm","47.8250mm","BottomLayer","270"
"C35","55.0000mm","81.0750mm","BottomLayer","90"
"C34","74.0000mm","81.0750mm","BottomLayer","90"
"C33","140.0000mm","90.8250mm","BottomLayer","270"
"C32","121.0000mm","90.8250mm","BottomLayer","270"
"C31","133.0000mm","124.0750mm","BottomLayer","90"
"C30","152.0000mm","124.0750mm","BottomLayer","90"
"C29","62.0000mm","90.8250mm","BottomLayer","270"
"C28","43.0000mm","90.8250mm","BottomLayer","270"
"C27","55.0000mm","124.0750mm","BottomLayer","90"
"C26","74.0000mm","124.0750mm","BottomLayer","90"
"C25","194.6750mm","31.4000mm","BottomLayer","0"
"C24","184.3750mm","31.4000mm","BottomLayer","0"
"C23","174.0750mm","31.4000mm","BottomLayer","0"
"C22","163.7750mm","31.4000mm","BottomLayer","0"
"U6","29.0000mm","93.0000mm","BottomLayer","0"
"U5","10.0000mm","93.0000mm","BottomLayer","0"
"U4","10.0000mm","122.0000mm","BottomLayer","180"
"U3","29.0000mm","122.0000mm","BottomLayer","180"
"U1","187.4000mm","94.2000mm","BottomLayer","0"
"S2","182.0000mm","78.0000mm","BottomLayer","270"
"S1","193.0000mm","78.0000mm","BottomLayer","90"
"R47","15.3750mm","100.2500mm","BottomLayer","0"
"R46","10.3750mm","100.2500mm","BottomLayer","0"
"R45","5.3750mm","100.2500mm","BottomLayer","0"
"R44","35.3750mm","104.2500mm","BottomLayer","0"
"R43","30.3750mm","104.2500mm","BottomLayer","0"
"R42","25.3750mm","104.2500mm","BottomLayer","0"
"R41","20.3750mm","104.2500mm","BottomLayer","0"
"R40","15.3750mm","104.2500mm","BottomLayer","0"
"R39","10.3750mm","104.2500mm","BottomLayer","0"
"R38","5.3750mm","104.2500mm","BottomLayer","0"
"R37","35.3750mm","108.2500mm","BottomLayer","0"
"R36","30.3750mm","108.2500mm","BottomLayer","0"
"R35","25.3750mm","108.2500mm","BottomLayer","0"
"R34","20.3750mm","108.2500mm","BottomLayer","0"
"R33","15.3750mm","108.2500mm","BottomLayer","0"
"R32","10.3750mm","108.2500mm","BottomLayer","0"
"R31","5.3750mm","108.2500mm","BottomLayer","0"
"R30","35.3750mm","112.2500mm","BottomLayer","0"
"R29","30.3750mm","112.2500mm","BottomLayer","0"
"R28","25.3750mm","112.2500mm","BottomLayer","0"
"R27","20.3750mm","112.2500mm","BottomLayer","0"
"R26","15.3750mm","112.2500mm","BottomLayer","0"
"R25","10.3750mm","112.2500mm","BottomLayer","0"
"R24","5.3750mm","112.2500mm","BottomLayer","0"
"R23","35.3750mm","116.2500mm","BottomLayer","0"
"R22","30.3750mm","116.2500mm","BottomLayer","0"
"R21","25.3750mm","116.2500mm","BottomLayer","0"
"R20","20.3750mm","116.2500mm","BottomLayer","0"
"R19","15.3750mm","116.2500mm","BottomLayer","0"
"R18","10.3750mm","116.2500mm","BottomLayer","0"
"R17","5.3750mm","116.2500mm","BottomLayer","0"
"R16","176.0000mm","16.0000mm","BottomLayer","0"
"R15","176.0000mm","13.5000mm","BottomLayer","180"
"R14","188.4000mm","98.1000mm","BottomLayer","180"
"R13","187.3000mm","85.9000mm","BottomLayer","0"
"R12","167.1000mm","105.0000mm","BottomLayer","0"
"R11","187.5000mm","117.0000mm","BottomLayer","180"
"R10","180.7000mm","84.1000mm","BottomLayer","90"
"R9","187.5000mm","113.0000mm","BottomLayer","180"
"R8","194.3000mm","84.1000mm","BottomLayer","90"
"R7","196.4000mm","83.3000mm","BottomLayer","0"
"R6","167.1000mm","107.0000mm","BottomLayer","0"
"R5","187.3000mm","83.9000mm","BottomLayer","180"
"R4","167.1000mm","109.0000mm","BottomLayer","0"
"R3","189.8000mm","113.0000mm","BottomLayer","90"
"R2","189.8000mm","115.7000mm","BottomLayer","90"
"R1","197.3500mm","116.1500mm","BottomLayer","90"
"QL1","196.8000mm","115.1000mm","TopLayer","270"
"Q2","184.0000mm","84.9000mm","BottomLayer","270"
"Q1","190.6000mm","84.9000mm","BottomLayer","90"
"P1","191.5750mm","10.6000mm","BottomLayer","270"
"MOD1","177.3000mm","109.4000mm","BottomLayer","180"
"J1","195.9289mm","94.1000mm","BottomLayer","270"
"D31","16.1000mm","99.5000mm","TopLayer","90"
"D30","11.1000mm","99.5000mm","TopLayer","90"
"D29","6.1000mm","99.5000mm","TopLayer","90"
"D28","36.1000mm","103.5000mm","TopLayer","90"
"D27","31.1000mm","103.5000mm","TopLayer","90"
"D26","26.1000mm","103.5000mm","TopLayer","90"
"D25","21.1000mm","103.5000mm","TopLayer","90"
"D24","16.1000mm","103.5000mm","TopLayer","90"
"D23","11.1000mm","103.5000mm","TopLayer","90"
"D22","6.1000mm","103.5000mm","TopLayer","90"
"D21","36.1000mm","107.5000mm","TopLayer","90"
"D20","31.1000mm","107.5000mm","TopLayer","90"
"D19","26.1000mm","107.5000mm","TopLayer","90"
"D18","21.1000mm","107.5000mm","TopLayer","90"
"D17","16.1000mm","107.5000mm","TopLayer","90"
"D16","11.1000mm","107.5000mm","TopLayer","90"
"D15","6.1000mm","107.5000mm","TopLayer","90"
"D14","36.1000mm","111.5000mm","TopLayer","90"
"D13","31.1000mm","111.5000mm","TopLayer","90"
"D12","26.1000mm","111.5000mm","TopLayer","90"
"D11","21.1000mm","111.5000mm","TopLayer","90"
"D10","16.1000mm","111.5000mm","TopLayer","90"
"D9","11.1000mm","111.5000mm","TopLayer","90"
"D8","6.1000mm","111.5000mm","TopLayer","90"
"D7","36.1000mm","115.5000mm","TopLayer","90"
"D6","31.1000mm","115.5000mm","TopLayer","90"
"D5","26.1000mm","115.5000mm","TopLayer","90"
"D4","21.1000mm","115.5000mm","TopLayer","90"
"D3","16.1000mm","115.5000mm","TopLayer","90"
"D2","11.1000mm","115.5000mm","TopLayer","90"
"D1","6.1000mm","115.5000mm","TopLayer","90"
"C21","23.0000mm","90.8250mm","BottomLayer","270"
"C20","4.0000mm","90.8250mm","BottomLayer","270"
"C19","16.0000mm","124.0750mm","BottomLayer","90"
"C18","35.0000mm","124.0750mm","BottomLayer","90"
"C17","163.7000mm","8.0000mm","BottomLayer","90"
"C16","166.2000mm","8.0000mm","BottomLayer","90"
"C15","168.7000mm","8.0000mm","BottomLayer","90"
"C14","171.2000mm","8.0000mm","BottomLayer","90"
"C13","176.8000mm","5.2000mm","BottomLayer","270"
"C12","176.0000mm","14.7500mm","BottomLayer","0"
"C11","179.1000mm","13.9000mm","BottomLayer","90"
"C10","183.5000mm","14.5000mm","BottomLayer","90"
"C9","181.0000mm","14.5000mm","BottomLayer","90"
"C8","181.0000mm","6.7000mm","BottomLayer","270"
"C7","183.5000mm","6.7000mm","BottomLayer","270"
"C6","183.7000mm","98.1000mm","BottomLayer","90"
"C5","182.1000mm","98.4000mm","BottomLayer","90"
"C4","187.5000mm","118.3000mm","BottomLayer","0"
"C3","186.9000mm","102.2000mm","BottomLayer","270"
"C2","188.2000mm","102.2000mm","BottomLayer","270"
"C1","189.9000mm","102.1000mm","BottomLayer","270"
